 step    comp  M_gate |  mean_cos eff_rank fac_align  bind_cos
    1  -1.150  +0.101 |    +0.037     4.35     0.165    +0.050
  200  +0.375  +0.771 |    +0.053     2.27     0.015    +0.053
  400  +0.341  +0.654 |    +0.089     1.87     0.012    +0.091
  600  +0.341  +0.666 |    +0.164     1.99     0.036    +0.156
  800  +0.338  +0.676 |    +0.081     1.70     0.044    +0.079
 1000  +0.346  +0.712 |    +0.088     1.91     0.040    +0.086
 1200  +0.291  +0.602 |    +0.028     1.76     0.039    +0.029
 1400  +0.316  +0.668 |    +0.048     1.66     0.041    +0.048
 1600  +0.294  +0.633 |    -0.003     1.75     0.039    -0.003
 1800  +0.303  +0.613 |    +0.027     1.54     0.051    +0.028
 2000  +0.266  +0.562 |    +0.063     1.45     0.051    +0.066
 2200  +0.260  +0.541 |    +0.030     1.37     0.050    +0.032
 2400  +0.294  +0.618 |    +0.070     1.64     0.040    +0.071
 2600  +0.289  +0.558 |    +0.109     1.51     0.041    +0.109
 2800  +0.252  +0.512 |    +0.081     1.40     0.031    +0.084
 3000  +0.247  +0.543 |    +0.053     1.47     0.044    +0.054
 3200  +0.251  +0.520 |    +0.092     1.45     0.041    +0.093
 3400  +0.263  +0.528 |    +0.099     1.50     0.042    +0.098
 3600  +0.240  +0.485 |    -0.005     1.51     0.045    -0.005
 3800  +0.278  +0.564 |    +0.033     1.57     0.039    +0.030
 4000  +0.257  +0.534 |    +0.056     1.49     0.040    +0.055
